"Timestamp","","","","What is your gender? ","How old are you?","What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.","What country are you from?","Check all appliances that were present in the simulation","Did any aspect of the visualization change over time?","Check what changed","The fridge corresponded to what color circle","The light corresponded to what color circle","The stove corresponded to what color circle","The range hood corresponded to what color circle","The toaster corresponded to what color circle","Different color circles refer to...","The changing size of each circle refers to...","The changing speed of each circle refers to...","The changing opacity (transparency) of each circle refers to...","The changing number of each circle refers to...","Which appliance is using the most power? ","Which appliance is using the least power? ","Which appliance is using the most energy? ","Which appliance is using the least energy? ","Worker ID","Please leave any comments you have about this HIT below:"
"2018/06/20 1:28:54 PM AST","12","74","42","Female","25","Bachelor’s degree","India","Fridge;Microwave","Yes","Size of the circles","Red","Yellow","Red","Yellow","Yellow","Different kitchen appliances","Different kitchen appliances","Different time stamps of same kitchen appliance","Different time stamps of same kitchen appliance","Different kitchen appliances","Fridge","Oven","Fridge","Toaster","A1258YAV4INLP1",""
"2018/06/20 1:30:41 PM AST","12","21","42","Male","27","Master’s degree","United States","Fridge;Light","No","","Red","Red","Green","Blue","Green","Different kitchen appliances","Different energy outputs of the same kitchen appliance","The speed of the circles is not relevant to the visualization","The opacity of the circles is not relevant to the visualization","Different kitchen appliances","Light","Fridge","Toaster","Oven","A1K6JEJIT6AUJ5","Nice"
"2018/06/20 1:31:06 PM AST","12","21","42","Female","29","Bachelor’s degree","India","Fridge;Stove;Microwave;Light","Yes","Speed of the circles;Number of the circles","Blue","Yellow","Red","Yellow","Red","Different kitchen appliances","Different kitchen appliances","Different kitchen appliances","Different kitchen appliances","Different kitchen appliances","Fridge","Fridge","Fridge","Fridge","AEHGZ3X74QSQL","nothing"
"2018/06/20 1:45:27 PM AST","12","74","42","Male","28","Bachelor’s degree","United States","Fridge;Stove;Microwave;Coffee Pot;Toaster;Range Hood","No","","Red","Yellow","Blue","Yellow","Blue","Different energy outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Different energy outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Fridge","Light","Fridge","Oven","A1BGZSZUUG4DNE","This hit is nice!! do more like this"
"2018/06/20 1:47:24 PM AST","12","74","42","Female","27","Bachelor’s degree","Canada","Fridge;Stove;Microwave;Coffee Pot;Toaster;Range Hood","Yes","Speed of the circles;Number of the circles","Yellow","Green","Blue","Red","Purple","Different energy outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different kitchen appliances","The opacity of the circles is not relevant to the visualization","Different time stamps of same kitchen appliance","Oven","Light","Fridge","Light","A3658T1VKKXNTZ",""
"2018/06/20 1:47:36 PM AST","12","74","42","Female","33","Some College Credit, No Degree","United States","Fridge;Stove;Microwave;Coffee Pot","No","","Red","Red","Green","Blue","Blue","Different kitchen appliances","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","The opacity of the circles is not relevant to the visualization","Different kitchen appliances","Fridge","Range Hood","Fridge","Range Hood","A17F1BC1J1APAS",""
"2018/06/20 1:48:42 PM AST","12","74","42","Male","33","Bachelor’s degree","India","Fridge;Stove;Microwave;Light;Toaster","Yes","Size of the circles;Speed of the circles","Red","Yellow","Red","Green","Red","Different kitchen appliances","Different time stamps of same kitchen appliance","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Fridge","Light","Fridge","Light","AMC42JMQA8A5U","good"
"2018/06/20 1:52:28 PM AST","12","24","2","Female","22","Master’s degree","India","Light","Yes","Speed of the circles","Blue","Green","Green","Green","Green","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Light","Range Hood","Light","Range Hood","A3KOWY3F88WP94","GOOD"
"2018/06/20 1:55:15 PM AST","12","74","42","Female","24","Bachelor’s degree","India","Fridge;Stove;Microwave;Light;Coffee Pot;Range Hood","Yes","Size of the circles","Yellow","Yellow","Yellow","Yellow","Yellow","Different kitchen appliances","Different kitchen appliances","Different power outputs of the same kitchen appliance","Different kitchen appliances","Different time stamps of same kitchen appliance","Fridge","Light","Fridge","Range Hood","A3Q9UK9RCL87O8",""
"2018/06/20 1:55:19 PM AST","12","24","42","Female","22","Master’s degree","India","Light","Yes","Hue of the circles (i.e. the actual color changed)","Blue","Blue","Green","Yellow","Yellow","Different energy outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Different power outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Different power outputs of the same kitchen appliance","Range Hood","Range Hood","Toaster","Light","A3R4SD33QQVAJX","GOOD"
"2018/06/20 2:00:37 PM AST","12","14","42","Male","21","Bachelor’s degree","India","Microwave;Light","Yes","Speed of the circles;The shape itself (i.e. the shape transformed)","Red","Red","Red","Red","Red","The color of the circles is not relevant to the visualization","The size of the circles is not relevant to the visualization","The speed of the circles is not relevant to the visualization","The opacity of the circles is not relevant to the visualization","The number of the circles is not relevant to the visualization","Range Hood","Range Hood","Range Hood","Range Hood","A2SY89U2BZADGD",""
