"Timestamp","","","","What is your gender? ","How old are you?","What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.","What country are you from?","Check all appliances that were present in the simulation","Did any aspect of the visualization change over time?","Check what changed","The fridge corresponded to what color pinwheel","The light corresponded to what color pinwheel","The stove corresponded to what color pinwheel","The range hood corresponded to what color pinwheel","The toaster corresponded to what color pinwheel","Different color pinwheels refer to...","The changing size of each pinwheel refers to...","The changing speed of each pinwheel refers to...","The changing opacity (transparency) of each pinwheel refers to...","The changing number of each pinwheel refers to...","Which appliance is using the most power? ","Which appliance is using the least power? ","Which appliance is using the most energy? ","Which appliance is using the least energy? ","Worker ID","Please leave any comments you have about this HIT below:"
"2018/06/20 1:38:42 PM AST","12","74","42","Male","31","Bachelor’s degree","United States","Fridge;Coffee Pot","No","","Blue","Blue","Yellow","Green","Yellow","Different kitchen appliances","Different energy outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Different power outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Fridge","Fridge","Fridge","Fridge","A2NHPETX25VH3Q","GOOD"
"2018/06/20 1:39:11 PM AST","12","74","42","Male","31","Bachelor’s degree","United States","Fridge;Coffee Pot","No","","Blue","Blue","Yellow","Green","Yellow","Different kitchen appliances","Different energy outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Different power outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Fridge","Fridge","Fridge","Fridge","A2NHPETX25VH3Q","GOOD"
"2018/06/20 1:44:25 PM AST","12","74","42","Female","25","Associate degree","United States","Fridge;Stove;Microwave;Light;Toaster;Range Hood","No","","Green","Red","Blue","Yellow","Purple","Different kitchen appliances","Different kitchen appliances","Different kitchen appliances","The opacity of the pinwheels is not relevant to the visualization","Different kitchen appliances","Oven","Light","Oven","Light","AME6OZNVF0TTC",""
"2018/06/20 1:48:30 PM AST","12","74","42","Female","22","Bachelor’s degree","India","Fridge;Ceiling Fan","Yes","Speed of the pinwheels","Green","Green","Yellow","Blue","Blue","Different kitchen appliances","Different kitchen appliances","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Fridge","Toaster","Range Hood","Oven","A1RF3SUO8U3QWU","GOOD"
"2018/06/20 1:49:16 PM AST","12","74","42","Female","24","Bachelor’s degree","India","Stove;Microwave;Light","No","","Yellow","Yellow","Yellow","Yellow","Yellow","Different kitchen appliances","Different time stamps of same kitchen appliance","Different power outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Different kitchen appliances","Fridge","Light","Fridge","Light","A3ABJN1IL7UCZ8",""
"2018/06/20 1:49:41 PM AST","12","74","42","Female","41","Some College Credit, No Degree","United States","Fridge;Stove;Light;Toaster;Range Hood","Yes","Speed of the pinwheels;Number of the pinwheels;Opacity of the pinwheels (i.e. the color became less translucent)","Yellow","Green","Blue","Blue","Red","The color of the pinwheels is not relevant to the visualization","The size of the pinwheels is not relevant to the visualization","The speed of the pinwheels is not relevant to the visualization","The opacity of the pinwheels is not relevant to the visualization","The number of the pinwheels is not relevant to the visualization","Fridge","Range Hood","Fridge","Toaster","A2WPIJKBEBVLYY",""
"2018/06/20 1:53:05 PM AST","12","71","42","Female","33","Bachelor’s degree","United States","Fridge;Stove;Light;Toaster;Range Hood","No","","Green","Red","Blue","Yellow","Purple","Different kitchen appliances","Different energy outputs of the same kitchen appliance","Different energy outputs of the same kitchen appliance","The opacity of the pinwheels is not relevant to the visualization","Different kitchen appliances","Range Hood","Light","Range Hood","Light","A32MY4GWOHA4GK",""
"2018/06/20 1:53:20 PM AST","12","74","42","Female","26","Bachelor’s degree","India","Fridge;Ceiling Fan","Yes","Size of the pinwheels;Speed of the pinwheels;Number of the pinwheels","Purple","Yellow","Blue","Green","Blue","Different kitchen appliances","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different power outputs of the same kitchen appliance","Different energy outputs of the same kitchen appliance","Fridge","Toaster","Toaster","Light","A2MDORDGPI3WKR","GOOD"
"2018/06/20 1:55:09 PM AST","12","24","42","Female","25","Bachelor’s degree","France","Fridge","Yes","Size of the pinwheels","Blue","Green","Yellow","Yellow","Yellow","Different power outputs of the same kitchen appliance","Different time stamps of same kitchen appliance","Different time stamps of same kitchen appliance","Different time stamps of same kitchen appliance","Different kitchen appliances","Toaster","Range Hood","Light","Toaster","A3AJE1ORZMFDON","GOOD"
"2018/06/20 2:03:26 PM AST","12","74","42","Male","34","Master’s degree","United States","Fridge;Stove;Light;Toaster;Range Hood","Yes","Speed of the pinwheels","Green","Red","Blue","Yellow","Purple","Different kitchen appliances","The size of the pinwheels is not relevant to the visualization","Different power outputs of the same kitchen appliance","Different energy outputs of the same kitchen appliance","Different kitchen appliances","Toaster","Light","Fridge","Range Hood","A1MCESL59XN0X6",""
